Gene,Group,Z_Nerve_Tibial_DR,P_Nerve_Tibial_DR,SNPs_Model_Nerve_Tibial_DR,Z_Nerve_Tibial_DN,P_Nerve_Tibial_DN,SNPs_Model_Nerve_Tibial_DN,Z_Nerve_Tibial_DPN,P_Nerve_Tibial_DPN,SNPs_Model_Nerve_Tibial_DPN,Z_Whole_Blood_DR,P_Whole_Blood_DR,SNPs_Model_Whole_Blood_DR,Z_Whole_Blood_DN,P_Whole_Blood_DN,SNPs_Model_Whole_Blood_DN,Z_Whole_Blood_DPN,P_Whole_Blood_DPN,SNPs_Model_Whole_Blood_DPN,Z_Multi_DR,P_Multi_DR,FDR_Multi_DR,Z_Multi_DN,P_Multi_DN,FDR_Multi_DN,Z_Multi_DPN,P_Multi_DPN,FDR_Multi_DPN,P_ACAT_O_DR,FDR_ACAT_O_DR,P_ACAT_O_DN,FDR_ACAT_O_DN,P_ACAT_O_DPN,FDR_ACAT_O_DPN
RPS8,NonCandidate,8.5157,1.656315901691188e-17,1.0,6.8474,7.518629784142033e-12,1.0,2.7498,0.0059632688535538,1.0,8.5157,1.656315901691188e-17,1.0,6.8474,7.518629784142033e-12,1.0,2.7498,0.0059632688535538,1.0,12.0231,2.6871850331838565e-33,5.307190440538116e-32,9.6677,4.137107197078264e-22,2.723595571409857e-21,3.8824,0.000103443076627,0.0003026667797607,9.992007221626409e-16,1.6664447599623602e-14,7.518596856215254e-12,3.7123071977562816e-11,0.0059632688535538,0.0142757042251742
RRBP1,NonCandidate,1.9256,0.0541574628437681,3.0,-1.5437,0.1226688257835196,3.0,0.9096,0.3630179687544873,3.0,1.0946,0.2736816082258236,2.0,1.3665,0.1717879354067657,2.0,-0.3309,0.7407046412918026,2.0,2.0983,0.0358800991763829,0.0659192519752152,-0.0068,0.994599669286962,0.994599669286962,0.3581,0.720276622823373,0.779477441137623,0.0964636706265226,0.1441023663682716,0.1448085612610058,0.2079977516294448,0.5876337670185141,0.6797057006862227
SERPINH1,NonCandidate,-14.5157,9.642305819362207e-48,2.0,-17.8357,3.731835060004353e-71,2.0,-9.304,1.3526355603774405e-20,2.0,-1.0797,0.2802873083177302,2.0,-1.0321,0.3020063661120674,2.0,0.4332,0.6648612789190276,2.0,-10.4631,1.2763247832913237e-25,1.6804942980002427e-24,-12.6363,1.3322358169676062e-36,1.5035232791491556e-35,-5.8663,4.4555339131255e-09,2.0705128184524384e-08,2.1094237467877974e-15,1.6664447599623602e-14,2.1094237467877974e-15,1.3887039666352999e-14,2.1094237467877974e-15,1.1109631733082401e-14
TPM4,NonCandidate,1.8469,0.0647570382011323,1.0,-1.2673,0.2050584380032687,1.0,-0.2898,0.7719713133418309,1.0,,,,,,,,,,1.8469,0.0647616347515212,0.1088546626674505,-1.2673,0.2050480405342105,0.3061345443327083,-0.2898,0.7719692478667453,0.813140941086305,0.0647570382011323,0.1044042044467235,0.2050584380032687,0.2842038000396181,0.7719713133418309,0.8241315372162789
UBA52,NonCandidate,0.2743,0.7838647620049906,2.0,0.869,0.3848318780720781,2.0,-1.9494,0.051243819551629,2.0,0.195,0.8453890675864304,2.0,0.4208,0.6738717509360882,2.0,-2.6012,0.009289091309594,2.0,0.3281,0.742857233761473,0.8039139927007721,0.8923,0.3722351642530653,0.4820750487867568,-3.2389,0.0011997585803006,0.0030574492852822,0.8208928062628882,0.8883634478735366,0.545254763740345,0.6231592222444213,0.0151340712984584,0.0332108786827282
VAT1,NonCandidate,-0.5921,0.553779461542804,1.0,-0.3519,0.7249210022508934,1.0,-1.9028,0.0570685207907404,1.0,-0.6357,0.5249684552697977,1.0,-0.3804,0.7036852057267966,1.0,-1.7857,0.0741438294763882,1.0,-0.8685,0.385108620132337,0.4568747683179193,-0.5181,0.6043770920406848,0.6919679749451318,-2.5991,0.0093472033110346,0.0199575422046415,0.5386246360694088,0.6350947201415418,0.7139735292400499,0.7726562850679992,0.064997726001341,0.1069754240438737
APPL1,T2DM_Control,-7.811,5.67410340692271e-15,1.0,1.3446,0.178748608686351,1.0,-10.0079,1.4065995821382418e-23,1.0,,,,,,,,,,-7.811,5.6736015049711634e-15,4.482145188927219e-14,1.3446,0.1787544433660084,0.2824320205182933,-10.0079,1.407075338180493e-23,1.3894868964532372e-22,5.6621374255882976e-15,4.066444151104323e-14,0.178748608686351,0.252163215825388,9.992007221626409e-16,1.1109631733082401e-14
ARAP1,T2DM_Control,-2.1893,0.0285764313249237,2.0,-2.2401,0.0250820660098416,2.0,1.0072,0.3138422736412377,2.0,,,,,,,,,,-2.1893,0.0285750423661574,0.0550592279738154,-2.2401,0.0250844315458308,0.0535586511383956,1.0072,0.3138386730839759,0.4657660339270856,0.0285764313249237,0.0532156006338468,0.0250820660098415,0.0508072619173714,0.3138422736412377,0.4231984237887758
CAMK1D,T2DM_Control,3.6323,0.0002808956445578,2.0,1.8158,0.0694002600206037,2.0,1.9132,0.0557198680582857,2.0,3.9862,6.71266483000993e-05,2.0,2.8468,0.0044154647442019,2.0,-2.2566,0.0240354968781957,2.0,5.3926,6.94573267691827e-08,3.227722832214961e-07,3.3334,0.0008578532228143,0.0026065540231666,-0.412,0.6803720208725349,0.7465193006795869,0.0001046560677132,0.0003062159018275,0.0079076172882915,0.0178486218792867,0.0328546405277713,0.0639912094596449
CDKAL1,T2DM_Control,-2.0927,0.0363775144756356,3.0,-1.5653,0.1175049670460892,3.0,-1.5143,0.1299446868966723,3.0,6.6261,3.446535018940334e-11,2.0,9.1975,3.663173202964827e-20,2.0,0.9555,0.3392996943147763,2.0,3.5548,0.000378287505112,0.0009961570967951,5.8254,5.69594973925359e-09,2.3683159442159664e-08,-0.2941,0.7687122242793872,0.813140941086305,6.517697492824935e-11,3.4326540128878004e-10,1.887379141862766e-15,1.3887039666352999e-14,0.1994242852337244,0.3029715102589275
DUSP8,T2DM_Control,-2.0892,0.0366929545235972,2.0,-1.1506,0.2498869481516166,2.0,1.4254,0.1540309916336558,2.0,6.2101,5.296314080169554e-10,2.0,-3.8558,0.0001153738035338,2.0,2.897,0.0037671075975908,2.0,3.2465,0.0011682095779781,0.0027966229290992,-3.6442,0.0002682339595988,0.0008476193123323,3.1112,0.0018634488452516,0.0046003893367149,1.0015772100580023e-09,4.945287474661386e-09,0.0002181109791081,0.0006153845481979,0.0069829855726626,0.0162251723600102
FTO,T2DM_Control,-0.0621,0.9504993091358028,1.0,4.7555,1.979164533662419e-06,1.0,-12.8992,4.547462963785542e-38,1.0,9.3398,9.65465651174031e-21,2.0,19.6962,2.3264252664939515e-86,2.0,-2.0606,0.0393430825266283,2.0,6.9317,4.157083090136175e-12,2.7568581681273468e-11,17.8688,2.0631201562965277e-71,4.074662308685641e-70,-10.12,4.5043283491730424e-24,5.083456279781005e-23,1.887379141862766e-15,1.6664447599623602e-14,1.887379141862766e-15,1.3887039666352999e-14,2.1094237467877974e-15,1.1109631733082401e-14
GCK,T2DM_Control,2.3971,0.0165264569403382,3.0,-2.9019,0.0037092938486616,3.0,-0.0864,0.931174569989936,3.0,,,,,,,,,,2.3971,0.0165254130035821,0.0352839899265673,-2.9019,0.0037090691938899,0.0097672155439103,-0.0864,0.9311484469318309,0.9430862475335208,0.0165264569403382,0.0326397524571679,0.0037092938486615,0.0091573191888832,0.931174569989936,0.937762133497109
GCKR,T2DM_Control,7.2518,4.113964062868456e-13,1.0,9.5787,9.826532532795896e-22,1.0,-3.9335,8.372721722947615e-05,1.0,7.2518,4.113964062868489e-13,1.0,9.5787,9.826532532795896e-22,1.0,-3.9335,8.372721722947569e-05,1.0,10.2386,1.3311272130784146e-24,1.5022721404742108e-23,13.5239,1.1299766733582567e-41,1.7853631439060456e-40,-5.5536,2.798364982571364e-08,1.2281712979063212e-07,4.11448652926083e-13,2.70870363176338e-12,9.992007221626409e-16,1.3887039666352999e-14,8.372721722949006e-05,0.0002544019292742
GRB14,T2DM_Control,-0.618,0.5365742435188872,1.0,-0.9399,0.3472703081026264,1.0,1.5633,0.1179746153342791,1.0,3.2408,0.0011917861428151,1.0,7.0874,1.3668897983717785e-12,1.0,-6.2231,4.873806212658002e-10,1.0,2.0084,0.0445983207207531,0.0782948297097666,4.6661,3.069358483068155e-06,1.1546634293446869e-05,-3.6061,0.0003108259614143,0.000876973248276,0.002254608106923,0.0050889725841977,2.5849877793859832e-12,1.3614268971432844e-11,9.216775120890475e-10,3.6406261727517373e-09
HHEX,T2DM_Control,2.0459,0.0407669174045843,1.0,1.1674,0.2430314489076028,1.0,2.8637,0.0041870375191572,1.0,2.0459,0.0407680641825478,2.0,1.1705,0.2417825620228859,2.0,2.8636,0.0041885713574811,2.0,2.8886,0.0038701928667516,0.0089925069550993,1.6505,0.0988333732534132,0.1730383312804207,4.0431,5.2747232715677154e-05,0.0001736263076891,0.0407675238097644,0.0670965496035706,0.2423697602866308,0.330124328666273,0.0041878484688581,0.0106267855656067
JAZF1,T2DM_Control,0.0652,0.9480474444473064,2.0,2.0074,0.0447115471430717,2.0,0.2166,0.8285253094749793,2.0,-2.429,0.0151419342731214,3.0,-1.4627,0.1435524004369689,3.0,-0.8571,0.3913985011846761,3.0,-1.7701,0.0767099064476611,0.1262517210284423,0.2434,0.80766795615233,0.8622401153518118,-0.4958,0.6200303362379317,0.7098898052579218,0.0384117925071439,0.0646912572863728,0.0707547281651912,0.1215135548923936,0.6721711858265097,0.7352209558357913
KCNJ11,T2DM_Control,0.1812,0.8561959377418524,2.0,0.351,0.725592970385819,2.0,-0.0405,0.9677029088631972,2.0,1.6434,0.1003097813529664,1.0,0.2828,0.7773391356497142,1.0,0.7245,0.4687834751981203,1.0,1.3475,0.1778182979575868,0.2508508131901671,0.4446,0.6565727702119338,0.7409892692391825,0.514,0.6072768771250887,0.7098898052579218,0.3163024051705033,0.3966331747376152,0.7550741360845361,0.8060926587929507,0.9315166290929332,0.937762133497109
KLF14,T2DM_Control,,,,,,,,,,1.4375,0.1505782136990521,1.0,0.5242,0.6001087849294473,1.0,-0.5335,0.5936670043968274,1.0,1.4375,0.1505759728248468,0.216281851875689,0.5242,0.600139440905249,0.6919679749451318,-0.5335,0.5936875110370833,0.7098898052579218,0.1505782136990521,0.2124228371825914,0.6001087849294473,0.6677266761891034,0.5936670043968274,0.6797057006862227
PAM,T2DM_Control,,,,,,,,,,0.206,0.836781487026655,1.0,-0.5945,0.5521663994570822,1.0,-1.4359,0.1510172459998212,1.0,0.206,0.8367909113052145,0.8933308377447561,-0.5945,0.5521777422910252,0.6510752483729999,-1.4359,0.1510307985045854,0.2434986343237194,0.836781487026655,0.8893247230822036,0.5521663994570822,0.6231592222444213,0.1510172459998212,0.2434767843670586
PPARG,T2DM_Control,-1.0519,0.2928588196493487,1.0,-2.1678,0.0301705272096899,1.0,-1.1876,0.2349971788393356,1.0,-5.3308,9.77666210661084e-08,1.0,0.2355,0.8138560739572558,1.0,-6.3268,2.502871272746757e-10,1.0,-4.6798,2.872164440577701e-06,1.080480908598278e-05,-1.2664,0.2053814031599182,0.3061345443327083,-5.5136,3.5148090876352424e-08,1.4614206206483378e-07,1.848848080188148e-07,7.687315701834931e-07,0.0751318218478913,0.1262854026804982,4.733138325718754e-10,2.024712149401908e-09
